date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2017-03-01,41851.600000000006,970000.0,0.0,0,-5.4,0.0,0.0,0,0,970000.0
2017-03-02,45484.0,970000.0,0.0,0,-6.2,26887.172663412657,0.0,0,0,970000.0
2017-03-03,47381.2,970000.0,0.0,0,-6.8,48615.89261163233,0.0,0,0,970000.0
2017-03-06,47052.399999999994,970000.0,0.0,0,-6.8,64695.219763981135,0.0,0,0,970000.0
2017-03-07,45281.0,970000.0,0.0,0,-6.4,74003.44813534801,0.0,0,0,970000.0
2017-03-08,42123.4,970000.0,0.0,0,-5.9,77011.51810549747,0.0,0,0,970000.0
2017-03-09,36277.0,970000.0,0.0,0,-4.6,74928.31979603978,167.60169054230892,0,0,970000.0
2017-03-10,26103.0,970000.0,0.0,0,-2.1,66788.72377555813,6745.605670060643,0,0,970000.0
2017-03-13,17820.0,970000.0,0.0,0,-0.0,49956.033764061205,20478.91565856372,0,0,970000.0
2017-03-14,12662.2,970000.0,0.0,0,1.2,28047.888325835178,37798.770220337676,0,0,970000.0
2017-03-15,6780.0,970000.0,0.0,0,2.7,5488.874906539317,54863.64251532753,0,0,970000.0
2017-03-16,805.0,970000.0,0.0,0,4.1,0.0,71806.8887843357,0,0,970000.0
2017-03-17,-8693.0,970000.0,0.0,0,6.5,0.0,88322.26072240775,0,0,970000.0
2017-03-20,-12451.5,970000.0,0.0,0,7.3,0.0,107073.67003359106,0,0,970000.0
2017-03-21,-14383.400000000001,967449.0,-0.002629896907216489,10,7.7,0.0,0.0,0,1,488085.0
2017-03-22,-17675.0,966761.0,-0.000711148598013911,0,8.2,0.0,12214.92650482467,1,0,966761.0
2017-03-23,-18839.5,966761.0,0.0,0,8.5,0.0,22870.130797192523,1,0,966761.0
2017-03-24,-20085.0,966761.0,0.0,0,8.8,0.0,30572.869197830623,1,0,966761.0
2017-03-27,-24170.0,966761.0,0.0,0,9.6,0.0,36156.979456958295,1,0,966761.0
2017-03-28,-19482.0,969163.0,0.002484585124968852,10,8.5,0.0,0.0,0,1,401117.0
2017-03-29,-14052.3,968473.0,-0.0007119545422183959,0,7.3,0.0,556.000100415159,1,0,968473.0
2017-03-30,-10612.0,968473.0,0.0,0,6.4,3633.7061286427866,0.0,1,0,968473.0
2017-03-31,-7140.199999999997,968473.0,0.0,0,5.6,9989.621134647037,0.0,1,0,968473.0
2017-04-05,-3233.2000000000007,968473.0,0.0,0,4.8,17994.760062443765,0.0,1,0,968473.0
2017-04-06,-858.6000000000022,968473.0,0.0,0,4.2,27355.909560785585,0.0,1,0,968473.0
2017-04-07,1194.3999999999996,968473.0,0.0,0,3.4,36164.292518932256,0.0,1,0,968473.0
2017-04-10,8458.2,968473.0,0.0,0,1.7,43607.45822704359,0.0,1,0,968473.0
2017-04-11,8343.1,968473.0,0.0,0,1.7,54294.16098810533,0.0,1,0,968473.0
2017-04-12,9702.400000000001,975576.0,0.00733422614776047,-10,1.2,0.0,0.0,0,1,743885.0
2017-04-13,20519.1,975611.0,3.587624131795586e-05,0,-1.3,6033.154931087355,0.0,1,0,975611.0
2017-04-14,33587.2,975611.0,0.0,0,-4.4,18634.551328742138,0.0,1,0,975611.0
2017-04-17,47799.4,975611.0,0.0,0,-7.7,38276.818751307386,0.0,1,0,975611.0
2017-04-18,65054.1,975611.0,0.0,0,-11.9,64223.69078081736,0.0,1,0,975611.0
2017-04-19,66860.0,975611.0,0.0,0,-12.5,97202.15892899297,0.0,1,0,975611.0
2017-04-20,69400.0,975611.0,0.0,0,-13.0,123156.87045332378,0.0,1,0,975611.0
2017-04-21,69730.2,975611.0,0.0,0,-13.2,143052.24545930343,0.0,1,0,975611.0
2017-04-24,67794.20000000001,975611.0,0.0,0,-12.8,155550.28560705553,0.0,1,0,975611.0
2017-04-25,65300.0,975611.0,0.0,0,-12.2,160527.99936713013,0.0,1,0,975611.0
